 * Serving Flask app 'server'
 * Debug mode: on
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:9543
 * Running on http://172.17.0.2:9543
[33mPress CTRL+C to quit[0m
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 138-778-947
10.138.121.163 - - [07/May/2024 20:47:54] "[31m[1mGET /record_run HTTP/1.1[0m" 405 -
172.21.0.4 - - [07/May/2024 23:12:15] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:12:48] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:12:57] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:13:01] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:13:13] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:13:40] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:13:49] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:13:49] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:14:11] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:14:23] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:14:26] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:14:42] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:15:10] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:15:17] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:15:21] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:15:32] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:15:47] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:15:48] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:15:52] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:16:06] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:16:10] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:16:12] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:16:12] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:16:18] "POST /record_run HTTP/1.1" 200 -
